ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity_NTU,Turbidity_Error,Viscosity,Rheology_Type
677,0.00,0.00,0.00,0.00,12.02,0.00,0.00,8.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,0.00,2.02,FALSE,NA,NA,NA,NA
678,0.00,0.00,7.47,0.00,0.00,0.00,11.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.00,4.14,FALSE,NA,NA,NA,NA
679,5.09,0.00,0.00,8.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.00,5.11,FALSE,NA,NA,NA,NA
680,0.00,7.42,0.00,0.00,0.00,0.00,0.00,0.00,9.92,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.00,4.38,FALSE,NA,NA,NA,NA
681,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.90,12.33,0.00,0.00,0.00,0.00,2.36,0.00,4.89,FALSE,NA,NA,NA,NA
682,0.00,0.00,10.28,0.00,0.00,0.00,0.00,0.00,0.00,11.77,0.00,0.00,0.00,0.00,0.00,1.85,0.00,4.40,FALSE,NA,NA,NA,NA
683,0.00,8.79,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.61,0.00,4.45,FALSE,NA,NA,NA,NA
684,0.00,0.00,7.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.42,0.00,0.00,0.00,0.00,2.92,0.00,1.80,FALSE,NA,NA,NA,NA
685,0.00,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.90,0.00,0.00,0.00,0.00,1.09,0.00,2.64,TRUE,3881,778,VERY-LOW,NEWTONIAN
686,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.07,10.34,0.00,0.00,0.00,0.00,0.00,1.28,0.00,3.31,FALSE,NA,NA,NA,NA
687,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.05,9.23,0.00,0.00,0.00,1.85,0.00,2.45,FALSE,NA,NA,NA,NA
688,0.00,0.00,6.25,0.00,0.00,11.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.32,0.00,2.33,TRUE,20,0,LOW,OTHER
689,0.00,0.00,0.00,6.90,0.00,0.00,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.86,0.00,2.83,FALSE,NA,NA,NA,NA
690,0.00,0.00,0.00,12.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.93,0.00,0.00,0.00,2.48,0.00,2.59,FALSE,NA,NA,NA,NA
691,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,9.82,0.00,0.00,0.00,2.22,0.00,3.30,FALSE,NA,NA,NA,NA
692,0.00,0.00,12.17,8.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.62,0.00,2.04,TRUE,14,0,VERY-LOW,NEWTONIAN
693,0.00,0.00,8.80,0.00,0.00,0.00,0.00,11.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,3.29,TRUE,20,0,MEDIUM,NEWTONIAN
694,0.00,0.00,0.00,0.00,0.00,8.85,0.00,0.00,11.07,0.00,0.00,0.00,0.00,0.00,0.00,2.16,0.00,4.79,FALSE,NA,NA,NA,NA
695,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.92,0.00,11.07,0.00,0.00,0.00,2.14,0.00,3.54,FALSE,NA,NA,NA,NA
696,0.00,0.00,0.00,0.00,0.00,11.74,0.00,0.00,0.00,0.00,8.36,0.00,0.00,0.00,0.00,1.50,0.00,2.40,FALSE,NA,NA,NA,NA
697,0.00,9.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.01,0.00,0.00,0.00,1.95,0.00,3.25,FALSE,NA,NA,NA,NA
698,0.00,0.00,0.00,11.01,0.00,0.00,0.00,6.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,4.98,FALSE,NA,NA,NA,NA
699,0.00,0.00,0.00,0.00,0.00,0.00,8.78,11.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.09,0.00,2.82,FALSE,NA,NA,NA,NA
700,10.51,10.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.00,4.62,TRUE,28,2,MEDIUM,SHEAR-THIN
701,0.00,13.17,0.00,0.00,7.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.09,0.00,2.33,TRUE,19,0,VERY-LOW,NEWTONIAN
702,0.00,0.00,0.00,0.00,0.00,10.97,12.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.00,1.39,TRUE,26,2,VERY-LOW,NEWTONIAN
703,0.00,10.13,0.00,0.00,0.00,0.00,0.00,8.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,0.00,2.94,TRUE,21,1,LOW,NEWTONIAN
704,6.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,0.00,0.00,0.00,1.45,0.00,3.09,FALSE,NA,NA,NA,NA
705,0.00,0.00,0.00,0.00,0.00,11.08,0.00,0.00,0.00,0.00,0.00,12.89,0.00,0.00,0.00,1.56,0.00,3.17,FALSE,NA,NA,NA,NA
706,0.00,0.00,0.00,0.00,0.00,0.00,9.24,0.00,8.46,0.00,0.00,0.00,0.00,0.00,0.00,2.37,0.00,4.52,FALSE,NA,NA,NA,NA
707,0.00,0.00,10.68,0.00,12.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.18,0.00,2.91,TRUE,14,0,LOW,NEWTONIAN
708,12.01,0.00,11.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02,0.00,4.92,FALSE,NA,NA,NA,NA
709,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.72,0.00,0.00,9.61,0.00,0.00,0.00,0.00,2.10,0.00,4.33,FALSE,NA,NA,NA,NA
710,5.79,0.00,0.00,0.00,8.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.00,5.09,FALSE,NA,NA,NA,NA
711,0.00,0.00,0.00,0.00,9.00,7.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,2.97,FALSE,NA,NA,NA,NA
712,0.00,0.00,0.00,0.00,9.56,0.00,0.00,0.00,0.00,11.38,0.00,0.00,0.00,0.00,0.00,1.22,0.00,2.09,TRUE,21,0,VERY-LOW,NEWTONIAN
713,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.66,0.00,10.78,0.00,0.00,0.00,0.00,0.00,2.49,0.00,1.80,TRUE,28,1,VERY-LOW,NEWTONIAN
714,0.00,0.00,6.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.55,0.00,0.00,0.00,2.31,0.00,1.71,FALSE,NA,NA,NA,NA
715,0.00,11.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.51,0.00,0.00,0.00,0.00,0.00,2.42,0.00,1.40,TRUE,17,0,VERY-LOW,NEWTONIAN
