"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"1",0.53,0.46,0.19,0.3,0.32,0.34,0,0.08,0,0.37,0,0,0,0.11,0.24,0.53,"FALSE"
"2",0.63,0.5,0.23,0.36,0.34,0.34,0,0.08,0,0.36,0,0,0,0.18,0.57,0.67,"FALSE"
"3",1,0.73,0.36,0.56,0.47,0.4,0,0.1,0,0.43,0,0,0,0.57,0.25,0.37,"FALSE"
"4",1,0.8,0.36,0.56,0.54,0.53,0,0.13,0,0.57,0,0,0,0.77,0.41,0.81,"FALSE"
"5",0.71,0.57,0.25,0.4,0.38,0.37,0,0.09,0,0.4,0,0,0,0.3,0.29,0.8,"FALSE"
"6",0.8,0.6,0.29,0.45,0.39,0.35,0,0.08,0,0.38,0,0,0,0.34,0.45,0.92,"FALSE"
"7",0,0,0,0,0,0,0,0.43,0.43,0,0.38,0,0.73,0.62,0.44,0.38,"TRUE"
"8",0,0,0,0,0,0,0,0.44,0.44,0,0.47,0,0.9,0.81,0.85,0.4,"TRUE"
"9",0,0,0,0,0,0,0,0.34,0.34,0,0.48,0,0.91,0.67,0.53,0.54,"FALSE"
"10",0,0,0,0,0,0,0,0.32,0.32,0,0.45,0,0.85,0.58,0.73,0.79,"FALSE"
"11",0,0,0,0,0,0,0,0.38,0.38,0,0.33,0,0.62,0.42,0.53,0.16,"TRUE"
"12",0,0,0,0,0,0,0,0.47,0.47,0,0.47,0,0.91,0.87,0.68,0.55,"FALSE"
"13",0,0.21,0,0,0.39,0.34,0,0,0,0,0.75,0,0,0.4,0.46,0.69,"FALSE"
"14",0,0.18,0,0,0.43,0.47,0,0,0,0,0.82,0,0,0.52,0.73,0.3,"TRUE"
"15",0,0.23,0,0,0.46,0.44,0,0,0,0,0.88,0,0,0.62,0.79,0.37,"TRUE"
"16",0,0.25,0,0,0.52,0.5,0,0,0,0,0.98,0,0,0.79,0.86,0.18,"TRUE"
"17",0,0.2,0,0,0.42,0.4,0,0,0,0,0.8,0,0,0.49,0.94,0.3,"TRUE"
"18",0,0.18,0,0,0.45,0.49,0,0,0,0,0.84,0,0,0.57,0.45,0.48,"TRUE"
"19",0,0.36,0,0,0.54,0.66,0,0,0,0,0,0.63,0,0.19,0.17,0.42,"FALSE"
"20",0,0.47,0,0,0.69,0.84,0,0,0,0,0,0.79,0,0.48,0.25,0.41,"FALSE"
"21",0,0.46,0,0,0.63,0.75,0,0,0,0,0,0.64,0,0.34,0.42,0.37,"FALSE"
"22",0,0.51,0,0,0.73,0.88,0,0,0,0,0,0.8,0,0.55,0.24,0.74,"FALSE"
"23",0,0.43,0,0,0.6,0.71,0,0,0,0,0,0.62,0,0.28,0.76,0.53,"FALSE"
"24",0,0.45,0,0,0.7,0.88,0,0,0,0,0,0.91,0,0.54,0.65,0.68,"FALSE"
"25",0,0.76,0,0,0.76,0.95,0,0.12,0,0.52,0,0,0,0.76,0.54,0.31,"TRUE"
"26",0,0.77,0,0,0.77,0.91,0,0.09,0,0.41,0,0,0,0.68,0.67,0.75,"TRUE"
"27",0,0.65,0,0,0.65,0.86,0,0.12,0,0.55,0,0,0,0.61,0.36,0.28,"TRUE"
"28",0,0.7,0,0,0.7,0.85,0,0.09,0,0.42,0,0,0,0.58,0.43,0.16,"TRUE"
"29",0,0.71,0,0,0.71,0.92,0,0.13,0,0.56,0,0,0,0.71,0.76,0.49,"TRUE"
"30",0,0.62,0,0,0.62,0.83,0,0.12,0,0.54,0,0,0,0.56,0.89,0.75,"FALSE"
"31",0,0,0.54,0.37,0,0,0.61,0.55,0.47,0,0,0,0,0.2,0.55,0.22,"FALSE"
"32",0,0,0.86,0.59,0,0,0.97,0.49,0.37,0,0,0,0,0.36,0.81,0.67,"FALSE"
"33",0,0,0.83,0.56,0,0,0.93,0.59,0.47,0,0,0,0,0.45,0.33,0.85,"TRUE"
"34",0,0,0.61,0.42,0,0,0.69,0.42,0.33,0,0,0,0,0.1,0.72,0.28,"FALSE"
"35",0,0,0.89,0.61,0,0,1,0.47,0.35,0,0,0,0,0.37,0.95,0.58,"FALSE"
"36",0,0,0.62,0.42,0,0,0.7,0.43,0.35,0,0,0,0,0.12,0.86,0.9,"FALSE"
"37",0.55,0.72,0.2,0.31,0.58,0.41,0,0,0,0,0,0,0,0.26,0.29,0.38,"FALSE"
"38",1,0.51,1,1,0.26,0,0.72,0.09,0,0,0,0,0,0.53,0,0.23,"FALSE"
"39",0.99,0.51,0.35,0.56,0.25,0,0,0.43,0.43,0,0,0,0,0.62,0.53,0.55,"FALSE"
"40",0.63,0.32,0.23,0.36,0.16,0,0,0.41,0.41,0,0,0,0,0.12,0.76,0.84,"FALSE"
"41",0.62,0.5,0.22,0.35,0.34,0.34,0,0.08,0,0.36,0,0,0,0.22,0.51,0.27,"FALSE"
"42",1,0.51,0.36,0.56,0.52,0.48,0,0,0,0,0.49,0,0,0.78,0.23,0.36,"FALSE"
"43",0,0.6,0,0,0.6,0.32,0,0,0,0,0.5,0,0,0.47,0.24,0.29,"FALSE"
