"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"44",0.75,0.62,0.27,0.43,0.43,0,0,0,0,0,0.45,0,0,0.48,0.5,0.42,"FALSE"
"45",0.66,0.75,0.24,0.37,0.58,0.39,0,0,0,0,0,0,0,0.3,0.65,0.71,"FALSE"
"46",0.89,0.46,0.32,0.51,0.45,0.41,0,0,0,0,0,0.8,0,0.49,0.52,0.92,"FALSE"
"47",0.6,0.31,0.22,0.34,0.16,0,0,0,0,0,0.41,0,0.78,0.47,0.8,0.82,"FALSE"
"48",0,0.46,0.67,0.46,0.46,0.43,0.75,0.09,0,0,0,0,0,0.47,0.81,0.52,"FALSE"
"49",0,0.35,0,0,0.35,0.32,0,0.3,0.3,0,0,0,0,0.17,0.27,0.49,"FALSE"
"50",0,0.36,0,0,0.36,0.34,0,0.42,0.42,0,0,0,0,0.2,0.69,0.85,"FALSE"
"51",0,0.45,0,0,0.45,0.42,0,0,0,0,0.41,0,0.78,0.66,0.87,0.68,"FALSE"
"52",0,0.35,0,0,0.6,0.8,0,0,0,0,0.48,0,0,0.52,0.37,0.3,"TRUE"
"53",0,0.57,0,0,0.57,0.67,0,0.06,0,0.29,0,0,0,0.24,0.62,0.42,"FALSE"
"54",0,0.61,0,0,0.61,0.33,0,0,0,0,0.49,0,0,0.5,0.86,0.73,"FALSE"
"55",0,1,0,0,1,0.93,0,0,0,0,0,0,0,0.67,0.82,0.53,"FALSE"
"56",0,0.51,0,0,0.71,0.84,0,0,0,0,0,0.7,0,0.5,0.82,0.46,"FALSE"
"57",0,0.37,0,0,0.37,0.35,0,0,0,0,0.38,0,0.73,0.51,0.62,0.3,"FALSE"
"58",0,0,0.79,0.53,0,0,0.88,0.39,0.28,0,0,0,0,0.31,0.9,0.75,"FALSE"
"59",0,0,0,0,0.2,0.38,0,0,0,0,0.42,0.74,0.81,0.6,0.51,0.46,"FALSE"
"60",0,0.17,0.61,0.42,0.17,0.32,0.69,0.16,0,0.35,0,0,0,0.27,0.73,0.61,"FALSE"
"61",0,0,0.83,0.56,0.17,0.31,0.92,0.11,0,0,0.31,0,0,0.44,0.44,0.14,"FALSE"
"62",0,0.17,0.83,0.56,0.17,0.32,0.92,0.19,0,0.34,0,0,0,0.39,0.72,0.12,"FALSE"
"63",0,0.25,0.81,0.55,0.25,0,0.91,0.11,0,0,0.48,0,0,0.66,0.58,0.43,"TRUE"
"64",0,0.39,0.55,0.37,0.39,0.36,0.61,0.08,0,0,0,0,0,0.23,0.38,0.85,"FALSE"
"65",0,0,0.89,0.6,0.24,0.45,1,0.12,0,0,0,0.89,0,0.65,0.59,0.55,"FALSE"
"66",0,0,0.84,0.57,0,0,0.94,0.12,0,0,0.42,0,0.81,0.78,0.78,0.3,"FALSE"
"67",0,0,0,0,0,0,0,0.83,0.83,0,0,0,0,0.26,0.44,0.4,"TRUE"
"68",0,0.24,0,0,0.24,0.46,0,0.59,0.48,0.49,0,0,0,0.7,0.24,0.49,"FALSE"
"69",0,0,0,0,0.18,0.34,0,0.35,0.35,0,0.34,0,0,0.3,0.65,0.1,"FALSE"
"70",0,0.23,0,0,0.23,0.43,0,0.49,0.38,0.46,0,0,0,0.43,0.49,0.61,"FALSE"
"71",0,0.17,0,0,0.17,0,0,0.4,0.4,0,0.32,0,0,0.31,0.48,0.82,"FALSE"
"72",0,0.41,0,0,0.41,0.38,0,0.4,0.4,0,0,0,0,0.4,0.55,0.38,"FALSE"
"73",0,0,0,0,0.21,0.39,0,0.42,0.42,0,0,0.77,0,0.43,0.67,0.77,"FALSE"
"74",0,0.17,0,0,0.42,0.47,0,0,0,0,0.32,0.92,0,0.41,0.41,0.85,"FALSE"
"75",0,0.19,0,0,0.19,0.36,0,0.41,0.33,0.38,0,0,0,0.14,0.98,0.31,"FALSE"
"76",0,0,0,0,0.17,0.32,0,0.52,0.52,0,0.32,0,0,0.32,0.76,0.37,"FALSE"
"77",0,0.21,0,0,0.21,0.39,0,0.45,0.36,0.42,0,0,0,0.18,0.96,0.55,"FALSE"
"78",0,0.2,0,0,0.2,0,0,0.38,0.38,0,0.37,0,0,0.2,0.36,0.22,"FALSE"
"79",0,0.42,0,0,0.42,0.39,0,0.34,0.34,0,0,0,0,0.17,0.78,0.46,"FALSE"
"80",0,0,0,0,0.18,0.34,0,0.32,0.32,0,0,0.68,0,0.06,0.5,0.47,"FALSE"
"81",0,0,0,0,0,0,0,0.44,0.44,0,0.44,0,0.84,0.56,0.67,0.15,"FALSE"
"82",0,0.24,0,0,0.43,0.8,0,0.11,0,0.48,0.36,0,0,0.54,0.65,0.55,"FALSE"
"83",0,0.4,0,0,0.4,0.74,0,0.18,0,0.8,0,0,0,0.37,1,0.36,"FALSE"
"84",0,0.38,0,0,0.38,0.37,0,0.09,0,0.4,0.34,0,0,0.35,0.42,0.75,"FALSE"
"85",0,0.73,0,0,0.73,0.91,0,0.11,0,0.48,0,0,0,0.66,0.54,0.65,"FALSE"
"86",0,0.19,0,0,0.45,0.84,0,0.08,0,0.38,0,0.95,0,0.51,0.32,0.29,"FALSE"
"87",0,0.24,0,0,0.24,0.45,0,0.11,0,0.49,0.39,0,0.74,0.72,0.28,0.5,"FALSE"
"88",0,0.13,0,0,0.38,0.71,0,0.06,0,0.27,0.47,0,0,0.35,0.91,0.74,"FALSE"
"89",0,0.24,0,0,0.24,0,0,0,0,0,0.81,0,0.66,0.61,0.63,0.73,"FALSE"
"90",0,0.55,0,0,0.81,1,0,0,0,0,0.5,0,0,0.82,0.79,0.36,"FALSE"
"91",0,0,0,0,0.53,1,0,0,0,0,0.51,0.97,0,0.79,0.59,0.61,"FALSE"
"92",0,0,0,0,0.24,0.44,0,0,0,0,0.85,0,0.77,0.75,0.27,0.66,"FALSE"
"93",0,0.43,0,0,0.43,0.29,0,0.07,0,0.32,0.52,0,0,0.46,0.49,0.82,"FALSE"
"94",0,0.68,0,0,0.68,0.81,0,0.08,0,0.38,0,0,0,0.44,0.31,0.69,"FALSE"
"95",0,0.21,0,0,0.47,0.87,0,0.09,0,0.43,0,0.94,0,0.51,0.85,0.18,"FALSE"
"96",0,0.21,0,0,0.21,0.4,0,0.1,0,0.43,0.34,0,0.66,0.48,0.89,0.28,"FALSE"
"97",0.69,0.64,0.25,0.39,0.46,0,0,0,0,0,0.54,0,0,0.58,0.87,0,"FALSE"
"98",0,0.54,0,0,0.54,0.51,0,0,0,0,0.35,0,0.66,0.68,0.38,0.05,"FALSE"
"99",0,0,0,0,0.16,0.3,0,0,0,0,0.65,0,0.65,0.38,0.88,0.06,"FALSE"
"100",0,0,0,0,0.45,0.84,0,0,0,0,0.4,0.87,0,0.53,0.4,0.1,"FALSE"
"101",0,0.48,0,0,0.48,0.39,0,0.09,0,0.42,0.52,0,0,0.67,0.31,0.07,"TRUE"
"102",0,0,0,0,0,0,0,0.66,0.66,0,0,0,0,0.06,0.74,0.11,"TRUE"
"103",0,0.17,0,0,0.17,0,0,0,0,0,0.74,0,0.79,0.53,0.79,0.13,"TRUE"
"104",0,0.76,0,0,0.76,0.5,0,0,0,0,0.43,0,0,0.65,0.81,0.83,"FALSE"
"105",0.45,0.72,0.16,0.25,0.61,0.46,0,0,0,0,0,0,0,0.27,0.81,0.21,"FALSE"
"106",0,0.79,0,0,0.79,0.94,0,0.1,0,0.44,0,0,0,0.67,0.94,0.86,"FALSE"
"107",0,0.55,0,0,0.8,0.98,0,0,0,0,0,0.91,0,0.72,0.53,0.23,"FALSE"
"108",0,0.64,0,0,0.64,0.83,0,0.12,0,0.52,0,0,0,0.55,1,0.27,"FALSE"
"109",0,0.71,0,0,0.71,0.86,0,0.09,0,0.42,0,0,0,0.54,0.29,0,"TRUE"
"110",0,0,0.52,0.35,0,0,0.58,0.07,0,0,0.52,0,1,0.7,0.25,0.11,"FALSE"
"111",0,0,0,0,0,0,0,0.61,0.61,0,0,0,0,0,0.24,0.09,"TRUE"
"112",0,0.33,0,0,0.33,0.31,0,0,0,0,0.47,0,0.9,0.62,0.6,0.07,"FALSE"
"113",0,0.26,0,0,0.43,0.8,0,0.12,0,0.53,0.32,0,0,0.54,0.98,0.08,"TRUE"
"114",0,0.49,0,0,0.49,0.48,0,0.11,0,0.52,0.44,0,0,0.69,0.92,0.8,"FALSE"
"115",0,0.7,0,0,0.7,0.81,0,0.07,0,0.34,0,0,0,0.48,0.67,0.09,"FALSE"
"116",0,0.19,0,0,0.19,0,0,0,0,0,0.83,0,0.9,0.71,0.9,0.26,"TRUE"
"117",0,0.29,0,0,0.29,0.54,0,0.58,0.45,0.58,0,0,0,0.6,0.3,0.74,"FALSE"
"118",0,0.45,0,0,0.45,0.46,0,0.11,0,0.5,0.39,0,0,0.52,0.34,0.17,"FALSE"
"119",0,0.43,0,0,0.43,0.79,0,0.19,0,0.86,0,0,0,0.46,0.56,0.12,"FALSE"
"120",0,0,0,0,0,0,0,0.5,0.5,0,0.33,0,0.63,0.42,0.85,0.74,"FALSE"
"121",0,0.23,0,0,0.51,0.51,0,0,0,0,0.44,1,0,0.66,0.81,0.12,"FALSE"
"122",0,0.23,0,0,0.46,0.86,0,0.1,0,0.47,0.43,0,0,0.57,0.96,0.54,"FALSE"
"123",0,0.25,0,0,0.52,0.96,0,0.11,0,0.51,0.5,0,0,0.75,0.47,0.23,"FALSE"
"124",0,0.28,0,0,0.28,0,0,0.45,0.45,0,0.53,0,0,0.73,0.3,0.41,"FALSE"
"125",0,0.22,0,0,0.22,0,0,0,0,0,0.84,0,0.8,0.69,0.31,0.94,"FALSE"
"126",0,0,0,0,0.28,0.51,0,0,0,0,0.88,0,0.68,0.78,0.67,1,"FALSE"
"127",0,0.26,0,0,0.47,0.38,0,0,0,0,0.89,0,0,0.63,0.18,0.55,"FALSE"
"128",0,0.76,0,0,0.76,0.92,0,0.1,0,0.45,0,0,0,0.63,0.45,0.87,"FALSE"
"129",0,0.16,0,0,0.16,0.3,0,0.07,0,0.32,0.43,0,0.82,0.55,0.9,0.25,"FALSE"
"130",0,0,0,0,0.26,0.48,0,0,0,0,0.5,0.94,0.96,0.92,0.73,0.2,"FALSE"
"131",0,0,0,0,0.24,0.44,0,0,0,0,0.97,0,0.99,0.99,0.45,0.27,"TRUE"
"132",0,0.27,0,0,0.27,0.51,0,0.12,0,0.55,0.52,0,0.98,1,0.94,0.74,"FALSE"
"133",0,0.2,0,0,0.44,0.82,0,0.09,0,0.39,0.46,0,0,0.57,0.63,0.29,"FALSE"
"134",0,0.33,0,0,0.33,0.31,0,0,0,0,0.51,0,0.98,0.71,0.89,0.47,"FALSE"
"135",0,0.23,0,0,0.44,0.82,0,0.1,0,0.46,0,0.76,0,0.42,0.53,0.19,"FALSE"
"136",0,0.24,0,0,0.24,0.44,0,0.11,0,0.48,0.49,0,0.94,0.85,0.41,0.33,"FALSE"
"137",0,0,0,0,0.26,0.48,0,0.43,0.43,0,0.48,0,0,0.48,0.63,0.21,"TRUE"
"138",0.55,0.54,0.2,0.31,0.4,0.49,0,0.12,0,0.53,0,0,0,0.43,0.3,0.21,"FALSE"
"139",0,0.26,0,0,0.45,0.36,0,0,0,0,0.5,0.7,0,0.52,0.52,0.33,"FALSE"
"140",0,0.22,0,0,0.22,0.41,0,0.52,0.42,0.45,0,0,0,0.52,0.96,0.27,"FALSE"
"141",0,0,0,0,0.19,0.36,0,0,0,0,0.84,0,0.91,0.76,0.74,0.62,"FALSE"
"142",0,0,0,0,0,0,0,0.72,0.72,0,0,0,0,0.15,0.64,0.2,"TRUE"
"143",0,0.7,0,0,0.7,0.87,0,0.11,0,0.48,0,0,0,0.56,0.32,0.51,"FALSE"
"144",0,0.5,0,0,0.5,0.92,0,0.22,0,1,0,0,0,0.66,0.69,0.35,"FALSE"
"145",0,0.27,0,0,0.27,0,0,0.42,0.42,0,0.52,0,0,0.49,0.87,0.02,"TRUE"
"146",0,0,0,0,0.23,0.43,0,0.52,0.52,0,0,0.84,0,0.42,0.27,0.13,"FALSE"
"147",0,0,0,0,0,0,0,0.71,0.71,0,0,0,0,0.09,0.93,0.6,"TRUE"
"148",0,0.7,0,0,0.7,0.88,0,0.11,0,0.49,0,0,0,0.55,0.71,0.16,"FALSE"
"149",0,0.54,0,0,0.76,0.9,0,0,0,0,0.4,0,0,0.66,0.26,0.28,"FALSE"
"150",0,0.2,0,0,0.2,0,0,0.47,0.47,0,0.38,0,0,0.52,0.8,0.16,"TRUE"
"151",0,0.46,0,0,0.73,0.93,0,0,0,0,0.51,0,0,0.74,0.45,0.04,"TRUE"
"152",0,0,0,0,0.26,0.49,0,0.41,0.41,0,0,0.95,0,0.55,0.47,0.11,"FALSE"
"153",0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0.24,0.37,0.62,"TRUE"
"154",0,0,0,0,0.22,0.41,0,0.5,0.5,0,0.42,0,0,0.46,0.86,0.15,"TRUE"
"155",0,0.22,0,0,0.42,0.36,0,0,0,0,0.79,0,0,0.47,0.39,0.08,"TRUE"
"156",0,0.68,0,0,0.68,0.88,0,0.12,0,0.54,0,0,0,0.63,0.72,0.45,"FALSE"
"157",0,0,0,0,0,0,0,0.71,0.71,0,0,0,0,0.11,0.21,0.73,"TRUE"
"158",0,0,0,0,0.16,0.3,0,0.52,0.52,0,0.31,0,0,0.51,0.87,0.33,"FALSE"
"159",0,0.22,0,0,0.22,0,0,0,0,0,0.77,0,0.68,0.56,0.84,0.1,"TRUE"
"160",0,0,0,0,0,0,0,1,1,0,0,0,0,0.52,0.68,0.81,"TRUE"
"161",0,0.36,0,0,0.36,0.33,0,0.48,0.48,0,0,0,0,0.46,0.42,0.15,"FALSE"
"162",0,0,0,0,0.26,0.48,0,0,0,0,0.91,0,0.8,0.85,0.6,0.52,"FALSE"
"163",0,0.72,0,0,0.72,0.87,0,0.09,0,0.42,0,0,0,0.59,0.82,0.11,"FALSE"
"164",0,0.26,0,0,0.26,0,0,0,0,0,1,0,0.97,1,0.4,0.16,"TRUE"
"165",0,0.9,0,0,0.9,0.84,0,0,0,0,0,0,0,0.53,0.31,0.26,"FALSE"
"166",0,0,0,0,0,0,0,0.68,0.68,0,0,0,0,0.12,0.89,0.51,"TRUE"
"167",0,0,0,0,0.17,0.32,0,0,0,0,0.8,0,0.89,0.68,0.26,0.24,"TRUE"
"168",0,0.42,0,0,0.69,0.9,0,0,0,0,0.52,0,0,0.67,0.69,0.15,"FALSE"
"169",0,0.67,0,0,0.67,0.85,0,0.11,0,0.48,0,0,0,0.52,0.64,0.06,"TRUE"
"170",0,0.45,0,0,0.45,0.35,0,0.08,0,0.38,0.51,0,0,0.52,0.58,0.19,"TRUE"
"171",0,0.27,0,0,0.27,0,0,0,0,0,0.91,0,0.75,0.79,0.64,0.34,"TRUE"
"172",0,0.67,0,0,0.67,0.38,0,0,0,0,0.49,0,0,0.58,0.31,0.28,"FALSE"
"173",0,0,0,0,0.21,0.39,0,0.39,0.39,0,0.39,0,0,0.45,0.91,0.18,"FALSE"
"174",0,0.53,0,0,0.53,0.49,0,0.41,0.41,0,0,0,0,0.45,0.35,0.12,"FALSE"
"175",0,0,0,0,0.18,0.33,0,0.44,0.44,0,0,0.65,0,0.36,0.71,0.16,"FALSE"
"176",0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0.4,0.38,0.37,"TRUE"
"177",0,0.77,0,0,0.77,0.5,0,0,0,0,0.45,0,0,0.69,0.39,0.51,"FALSE"
"178",0,0,0,0,0.21,0.39,0,0,0,0,0.83,0,0.83,0.73,0.94,0.28,"FALSE"
"179",0,0.28,0,0,0.48,0.37,0,0,0,0,0.9,0,0,0.65,0.9,0.16,"TRUE"
"180",0,0.24,0,0,0.24,0,0,0,0,0,0.79,0,0.64,0.58,0.31,0.14,"TRUE"
"181",0,0,0.47,0.32,0,0,0.52,0.54,0.47,0,0,0,0,0.32,0.88,0.08,"FALSE"
"182",0,0.79,0,0,0.79,0.96,0,0.11,0,0.48,0,0,0,0.68,0.37,0.32,"FALSE"
"183",0,0,0,0,0.24,0.45,0,0.49,0.49,0,0.46,0,0,0.72,0.92,0.12,"TRUE"
"184",0,0.27,0,0,0.27,0,0,0.34,0.34,0,0.5,0,0,0.51,0.7,0.47,"FALSE"
"185",0,0,0,0,0,0,0,0.64,0.64,0,0,0,0,0.05,0.97,0.87,"FALSE"
"186",0,0.26,0,0,0.26,0,0,0.35,0.35,0,0.49,0,0,0.51,0.91,0.15,"TRUE"
"187",0,0,0.75,0.51,0,0,0.84,0.52,0.41,0,0,0,0,0.49,0.19,0.03,"FALSE"
"188",0,0.17,0,0,0.38,0.4,0,0,0,0,0.73,0,0,0.37,0.32,0.04,"TRUE"
"189",0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0.29,0.79,0.08,"TRUE"
"190",0,0.19,0,0,0.19,0,0,0,0,0,0.74,0,0.73,0.52,0.28,0.06,"TRUE"
"191",0,0.26,0.85,0.58,0.26,0,0.95,0.12,0,0,0.5,0,0,0.74,0.72,0.04,"TRUE"
"192",0,0.78,0,0,0.78,0.94,0,0.1,0,0.45,0,0,0,0.66,0.93,0.46,"TRUE"
"193",0,0,0,0,0,0,0,0.25,0.25,0,0.51,0,0.98,0.51,0.2,0.41,"FALSE"
"194",0,0.24,0,0,0.24,0,0,0.34,0.34,0,0.46,0,0,0.44,0.83,0.41,"FALSE"
"195",0,0,0,0,0,0,0,0.5,0.5,0,0.41,0,0.79,0.58,0.45,0.14,"TRUE"
"196",0,0.22,0,0,0.22,0,0,0.49,0.49,0,0.42,0,0,0.61,0.51,0.16,"TRUE"
"197",0,0,0,0,0,0,0,0.79,0.79,0,0,0,0,0.27,0.67,0.46,"TRUE"
"198",0,0.24,0,0,0.24,0,0,0.51,0.51,0,0.45,0,0,0.48,0.92,0.44,"TRUE"
"199",0,0.19,0,0,0.47,0.87,0,0.09,0,0.39,0.52,0,0,0.66,0.45,0.38,"FALSE"
"200",0,0,0,0,0,0,0,0.67,0.67,0,0,0,0,0.05,0.81,0.56,"TRUE"
"201",0,0,0.73,0.49,0,0,0.81,0.1,0,0,0.47,0,0.9,0.78,0.35,0.11,"TRUE"
"202",0,0,0,0,0,0,0,0.35,0.35,0,0.47,0,0.89,0.52,0.94,0.48,"FALSE"
"203",0,0,0,0,0.27,0.51,0,0,0,0,0.89,0,0.71,0.8,0.48,0.17,"TRUE"
"204",0,0,0,0,0.22,0.42,0,0,0,0,0.78,0,0.68,0.62,0.32,0.37,"FALSE"
"205",0,0,0,0,0,0,0,0.76,0.76,0,0,0,0,0.23,0.33,0.66,"TRUE"
"206",0,0.17,0,0,0.17,0,0,0,0,0,0.76,0,0.83,0.58,0.4,0.46,"FALSE"
"207",0,0.28,0.67,0.45,0.28,0,0.75,0.09,0,0,0.52,0,0,0.61,0.38,0.31,"TRUE"
"208",0,0,0,0,0,0,0,0.37,0.37,0,0.49,0,0.93,0.75,0.33,0.16,"TRUE"
"209",0,0,0,0,0,0,0,0.84,0.84,0,0,0,0,0.33,0.31,0.07,"TRUE"
"210",0,0,0,0,0.43,0.81,0,0,0,0,0.52,0.6,0,0.51,0.85,0.06,"FALSE"
"211",0,0.17,0,0,0.45,0.83,0,0.08,0,0.34,0.53,0,0,0.55,0.29,0.35,"FALSE"
"212",0,0.19,0,0,0.19,0,0,0.45,0.45,0,0.35,0,0,0.44,0.84,0.48,"FALSE"
"213",0,0,0,0,0,0,0,0.45,0.45,0,0.52,0,0.99,0.74,0.52,0.54,"FALSE"
"214",0,0,0,0,0,0,0,0.71,0.71,0,0,0,0,0.14,0.81,0.67,"FALSE"
"215",0,0.21,0,0,0.21,0,0,0,0,0,0.9,0,0.95,0.83,0.6,0.57,"FALSE"
"216",0,0,0,0,0,0,0,0.88,0.88,0,0,0,0,0.34,0.26,0.23,"TRUE"
