"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"301",0,0.16,0,0,0.16,0.26,0,0.64,0.56,0.27,0,0,0,0.48,0.6,0.96,"TRUE"
"302",0,0,0.77,0.77,0.3,0.5,0.77,0.12,0,0,0.56,0,0,0.79,0.18,0.47,"TRUE"
"303",0,0,0,0,0,0,0,0.41,0.41,0,0.49,0,0.88,0.72,0.29,0.5,"FALSE"
"304",0.67,0.66,0.17,0.4,0.54,0.34,0,0,0,0,0,0,0,0.31,0.47,0.91,"TRUE"
"305",0,0.43,0,0,0.43,0.36,0,0.52,0.52,0,0,0,0,0.44,0.51,0.6,"TRUE"
"306",0,0.45,0,0,0.45,0.43,0,0.13,0,0.45,0.36,0,0,0.6,0.66,0.33,"FALSE"
"307",0,0.71,0,0,0.71,0.77,0,0.11,0,0.37,0,0,0,0.6,0.28,0.16,"TRUE"
"308",1,0.38,0.26,0.6,0.19,0,0,0,0,0,0.56,0,1,0.83,0.39,0.31,"FALSE"
"309",0,0.54,0.79,0.79,0.54,0.46,0.79,0.13,0,0,0,0,0,0.69,0.31,0.17,"TRUE"
"310",0,0.68,0,0,0.68,0.36,0,0,0,0,0.49,0,0,0.62,0.59,0.87,"TRUE"
"311",0,0,0,0,0.46,0.78,0,0,0,0,0.36,0.91,0,0.59,0.38,0.24,"FALSE"
"312",0,0,0,0,0.3,0.5,0,0,0,0,0.51,1,0.93,0.97,0.16,0.52,"FALSE"
"313",0,0.2,0,0,0.2,0,0,0.58,0.58,0,0.38,0,0,0.45,0.47,0,"TRUE"
"314",0,0.48,0,0,0.48,0.41,0,0.57,0.57,0,0,0,0,0.67,0.17,0.83,"FALSE"
"315",0,0.54,0,0,0.74,0.79,0,0,0,0,0,0.68,0,0.6,0.03,0.56,"TRUE"
