"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"316",0,0.65,0,0,0.65,0.73,0,0.11,0,0.37,0,0,0,0.56,0.68,0.48,"TRUE"
"317",0.64,0.53,0.16,0.38,0.41,0.48,0,0.14,0,0.5,0,0,0,0.44,0.48,0.06,"TRUE"
"318",0,0.19,0,0,0.19,0.32,0,0.1,0,0.33,0.5,0,0.9,0.73,0.8,0.8,"TRUE"
"319",0,0.25,0.84,0.84,0.25,0,0.84,0.13,0,0,0.48,0,0,0.7,0.3,0.12,"FALSE"
"320",0,0,0.97,0.97,0,0,0.97,0.16,0,0,0.52,0,0.93,1,0.42,0.26,"FALSE"
"321",0.61,0.45,0.16,0.36,0.33,0.36,0,0.11,0,0.38,0,0,0,0.33,0.51,0.07,"TRUE"
"322",0,0,1,1,0,0,1,0.64,0.47,0,0,0,0,0.73,0.68,0.59,"TRUE"
"323",0,0.2,0,0,0.49,0.81,0,0.1,0,0.34,0.54,0,0,0.66,0.74,0.84,"FALSE"
"324",0,0.33,0,0,0.33,0.55,0,0.58,0.42,0.57,0,0,0,0.57,0.47,0.22,"FALSE"
"325",0,0.16,0,0,0.46,0.78,0,0.08,0,0.28,0,1,0,0.54,0.7,0.77,"FALSE"
"326",0,0.89,0,0,0.89,1,0,0.15,0,0.52,0,0,0,0.84,0.43,0.95,"FALSE"
"327",0,0.51,0,0,0.74,0.81,0,0,0,0,0,0.74,0,0.59,0.26,0.72,"TRUE"
"328",0.71,0.76,0.18,0.42,0.63,0.41,0,0,0,0,0,0,0,0.4,0.24,0.13,"TRUE"
"329",0,0,0.5,0.5,0,0,0.5,0.47,0.39,0,0,0,0,0.2,0.12,0.41,"TRUE"
"330",0,0.27,0.88,0.88,0.27,0.45,0.88,0.28,0,0.47,0,0,0,0.73,0.22,0.67,"TRUE"
"331",0,0.57,0,0,0.84,0.92,0,0,0,0,0.5,0,0,0.81,0.26,0.14,"TRUE"
"332",0,1,0,0,1,0.84,0,0,0,0,0,0,0,0.67,0.37,0.11,"TRUE"
"333",0,0.42,0,0,0.42,0.35,0,0.55,0.55,0,0,0,0,0.44,0.18,0.92,"TRUE"
"334",0,0.56,0,0,0.56,0.47,0,0,0,0,0.42,0,0.76,0.83,0.75,0.75,"FALSE"
"335",0.58,0.22,0.15,0.34,0.11,0,0,0.63,0.63,0,0,0,0,0.28,0.14,0.45,"TRUE"
"336",0.86,0.33,0.22,0.51,0.39,0.38,0,0,0,0,0,0.75,0,0.41,0.03,0.67,"TRUE"
"337",0,0,0,0,0,0,0,0.4,0.4,0,0.37,0,0.66,0.42,0.66,0.28,"TRUE"
"338",0,0.49,0,0,0.49,0.41,0,0,0,0,0.55,0,0.99,0.92,0.57,0.35,"TRUE"
"339",0,0.35,0,0,0.35,0.58,0,0.18,0,0.61,0,0,0,0.34,0.39,0.26,"TRUE"
"340",0,0.86,0,0,0.86,0.5,0,0,0,0,0.49,0,0,0.8,0.72,0.35,"TRUE"
"341",0,0.8,0,0,0.8,0.86,0,0.12,0,0.4,0,0,0,0.69,0.78,0.9,"TRUE"
"342",0,0,0,0,0.21,0.35,0,0.35,0.35,0,0.39,0,0,0.42,0.69,0.59,"FALSE"
"343",0,0.48,0.89,0.89,0.48,0.41,0.89,0.14,0,0,0,0,0,0.71,0.49,0.9,"TRUE"
"344",0,0,0.67,0.67,0.24,0.41,0.67,0.11,0,0,0,0.81,0,0.53,0.2,0.76,"FALSE"
"345",0.49,0.19,0.12,0.29,0.37,0.47,0,0,0,0,0.53,0,0,0.44,0.39,0.94,"FALSE"
"346",0,0.22,0,0,0.22,0.36,0,0.11,0,0.38,0.51,0,0.92,0.83,0.74,1,"FALSE"
"347",0,0.22,0,0,0.22,0.37,0,0.49,0.38,0.38,0,0,0,0.36,0.86,0.78,"FALSE"
"348",0,0,0,0,0,0,0,1,1,0,0,0,0,0.45,0.67,0.58,"FALSE"
"349",0,0.45,0,0,0.45,0.41,0,0.12,0,0.43,0.39,0,0,0.55,0.01,0.22,"TRUE"
"350",0,0.28,0,0,0.55,0.92,0,0.14,0,0.49,0,0.89,0,0.78,0.51,0.63,"FALSE"
"351",0,0.25,0,0,0.48,0.39,0,0,0,0,0.47,0.78,0,0.61,0.26,0.08,"TRUE"
"352",0,0.24,0.71,0.71,0.24,0.41,0.71,0.24,0,0.42,0,0,0,0.61,0.23,0.5,"TRUE"
"353",0,0.22,0,0,0.43,0.72,0,0.11,0,0.38,0.4,0,0,0.57,0.91,0.31,"FALSE"
"354",0.57,0.22,0.15,0.34,0.11,0,0,0.4,0.4,0,0,0,0,0.22,0.61,0.58,"TRUE"
"355",0,0.2,0,0,0.2,0,0,0.33,0.33,0,0.37,0,0,0.35,0.18,0.71,"TRUE"
"356",0,0,0,0,0.19,0.31,0,0.42,0.42,0,0,0.62,0,0.27,0.31,0.1,"TRUE"
"357",0,0.29,0,0,0.5,0.35,0,0,0,0,0.94,0,0,0.71,0.09,0.41,"TRUE"
"358",0,0.41,0,0,0.72,0.86,0,0,0,0,0.57,0,0,0.75,0.1,0.44,"TRUE"
"359",0.54,0.2,0.72,0.9,0.1,0,0.58,0.09,0,0,0,0,0,0.19,0.13,0.71,"FALSE"
"360",0,0.52,0,0,0.52,0.44,0,0.4,0.4,0,0,0,0,0.55,0.49,0.69,"TRUE"
"361",0,0.24,0,0,0.24,0,0,0,0,0,0.88,0,0.79,0.75,0,0.05,"TRUE"
"362",0,0.57,0,0,0.57,0.96,0,0.29,0,1,0,0,0,0.84,0.66,0.07,"TRUE"
"363",0,0,0,0,0.18,0.31,0,0.56,0.56,0,0.34,0,0,0.41,0.06,0.25,"FALSE"
"364",0,0.29,0,0,0.29,0,0,0.37,0.37,0,0.54,0,0,0.59,0.64,0.02,"TRUE"
"365",0.57,0.22,0.14,0.34,0.11,0,0,0,0,0,0.39,0,0.7,0.4,0.04,0.88,"FALSE"
"366",0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0.53,0.46,"FALSE"
"367",0,0.19,0,0,0.45,0.43,0,0,0,0,0.36,0.85,0,0.54,0.01,0.95,"FALSE"
"368",0.97,0.37,0.25,0.58,0.49,0.51,0,0,0,0,0.58,0,0,0.71,0.03,0.07,"TRUE"
"369",0,0,0,0,0.3,0.51,0,0,0,0,1,0,0.77,0.93,0.59,0.24,"FALSE"
"370",0,0.31,0,0,0.31,0,0,0,0,0,0.95,0,0.66,0.81,0.36,0.47,"FALSE"
"371",0,0.22,0,0,0.53,0.89,0,0.11,0,0.38,0.59,0,0,0.81,0.37,0.67,"FALSE"
"372",0,0.22,0.45,0.45,0.22,0.37,0.45,0.18,0,0.38,0,0,0,0.38,0.12,0.03,"TRUE"
"373",0,0.21,0,0,0.21,0.35,0,0.5,0.4,0.36,0,0,0,0.46,0.57,0.41,"FALSE"
"374",0.9,0.64,0.23,0.54,0.47,0,0,0,0,0,0.56,0,0,0.62,1,0.76,"FALSE"
"375",0,0.46,0,0,0.46,0.3,0,0.09,0,0.32,0.52,0,0,0.57,0.33,0.37,"TRUE"
"376",0.92,0.69,0.24,0.55,0.51,0.57,0,0.17,0,0.59,0,0,0,0.68,0.35,0.93,"FALSE"
"377",0,0,0,0,0.19,0.32,0,0.48,0.48,0,0,0.64,0,0.47,0.45,0.33,"TRUE"
"378",0,0.24,0,0,0.42,0.3,0,0,0,0,0.78,0,0,0.52,0.53,0.87,"FALSE"
"379",0,0.18,0.54,0.54,0.18,0.29,0.54,0.18,0,0.31,0,0,0,0.31,0.7,0.3,"TRUE"
"380",0,0.24,0,0,0.24,0,0,0.6,0.6,0,0.46,0,0,0.56,0.27,0.76,"TRUE"
"381",0,0,0.69,0.69,0,0,0.69,0.11,0,0,0.35,0,0.63,0.56,0.76,0.98,"FALSE"
"382",0.93,0.35,0.24,0.55,0.18,0,0,0.47,0.47,0,0,0,0,0.32,0.77,0.96,"TRUE"
"383",0,0.32,0,0,0.52,0.87,0,0.16,0,0.55,0.39,0,0,0.72,0.41,0.96,"FALSE"
"384",0,0,0,0,0.25,0.42,0,0.32,0.32,0,0,0.83,0,0.41,0.8,0.52,"FALSE"
