"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"766",0,0.14,0,0,0.48,0.78,0,0.09,0,0.37,0,1,0,0.37,0.21,0.66,"TRUE"
"767",0,0,0,0,0,0,0,0.6,0.6,0,0.62,0,1,1,0.51,0.8,"TRUE"
"768",0.5,0.87,0.27,0.5,0.78,0.47,0,0,0,0,0,0,0,0.47,0.08,0.77,"FALSE"
"769",0,0,0,0,0.32,0.52,0,0,0,0,0.51,0.98,0.81,0.92,0.37,0.74,"FALSE"
"770",0,0.39,0,0,0.44,0.35,0,0.45,0.45,0,0,0,0,0.09,0.1,0.39,"FALSE"
"771",0.58,0.62,0.31,0.58,0.47,0.38,0,0.13,0,0.56,0,0,0,0.43,0.45,0.53,"FALSE"
"772",0,0,0,0,0.26,0.42,0,0,0,0,1,0,0.84,0.88,0.4,0.93,"FALSE"
"773",0,0.78,0,0,0.87,0.49,0,0,0,0,0.48,0,0,0.66,0.35,0.93,"FALSE"
"774",0,0.25,0.73,0.59,0.28,0.45,0.73,0.28,0,0.66,0,0,0,0.45,0.82,0.5,"TRUE"
"775",0,0.83,0,0,0.93,0.96,0,0.14,0,0.61,0,0,0,0.7,0.68,0.16,"TRUE"
"776",0,0,0,0,0.49,0.8,0,0,0,0,0.53,0.62,0,0.49,0.22,0.78,"FALSE"
"777",0,0.29,0,0,0.33,0.53,0,0.83,0.64,0.78,0,0,0,0.81,0.7,0.99,"FALSE"
"778",0.51,0.36,0.27,0.51,0.2,0,0,0.51,0.51,0,0,0,0,0.08,0.68,0.35,"TRUE"
"779",0,0.62,0.85,0.69,0.69,0.55,0.85,0.15,0,0,0,0,0,0.76,0.18,0.51,"TRUE"
"780",0,0.29,0,0,0.32,0.52,0,0.62,0.44,0.76,0,0,0,0.47,0,0.29,"FALSE"
"781",0,0.2,0,0,0.22,0.35,0,0.12,0,0.52,0.4,0,0.65,0.51,0.13,0.16,"FALSE"
"782",0.51,0.73,0.27,0.51,0.61,0.33,0,0,0,0,0,0,0,0.23,0.79,0.91,"FALSE"
"783",0,0.29,0,0,0.61,0.98,0,0.18,0,0.78,0.52,0,0,0.9,0.55,0.45,"FALSE"
"784",0,0.24,0,0,0.49,0.36,0,0,0,0,0.5,0.68,0,0.44,0.21,0.69,"FALSE"
"785",0,0.86,0,0,0.96,0.51,0,0,0,0,0.6,0,0,0.92,0.15,0.73,"TRUE"
"786",0,0.12,0,0,0.14,0.22,0,0.08,0,0.33,0.51,0,0.82,0.46,0.81,0.37,"FALSE"
"787",0.88,0.62,0.47,0.88,0.64,0.48,0,0,0,0,0.55,0,0,0.95,0.25,0.5,"FALSE"
"788",1,0.84,0.53,1,0.55,0.25,0,0.09,0,0.37,0,0,0,0.62,0.18,0.89,"TRUE"
"789",0,0.29,0.82,0.66,0.32,0.52,0.82,0.32,0,0.76,0,0,0,0.73,0.59,0.41,"TRUE"
"790",0,0.78,0,0,0.87,0.93,0,0.16,0,0.68,0,0,0,0.73,1,0.75,"FALSE"
"791",0,0.21,0,0,0.24,0,0,0.63,0.63,0,0.44,0,0,0.3,0.51,0.28,"TRUE"
"792",0,0,0,0,0.25,0.41,0,0.58,0.58,0,0.47,0,0,0.52,0.9,0.86,"FALSE"
"793",0,0.34,0,0,0.38,0.25,0,0.09,0,0.36,0.42,0,0,0.14,0.32,0.64,"FALSE"
"794",0,0.37,0,0,0.41,0.33,0,0,0,0,0.62,0,0.99,0.85,0.73,0.89,"FALSE"
"795",0,0,0,0,0.22,0.35,0,0.68,0.68,0,0,0.66,0,0.24,0.73,0.33,"TRUE"
"796",0,0.67,0,0,0.74,0.78,0,0.13,0,0.53,0,0,0,0.49,0.15,0.52,"TRUE"
"797",0,0,0,0,0,0,0,1,1,0,0,0,0,0.07,0.29,0.84,"TRUE"
"798",0,0.2,0.62,0.5,0.22,0,0.62,0.11,0,0,0.41,0,0,0.24,0.49,0.49,"TRUE"
"799",0,0.65,0,0,0.72,0.79,0,0.14,0,0.6,0,0,0,0.41,0.08,0.82,"FALSE"
"800",0,0.38,0,0,0.42,0.68,0,0.24,0,1,0,0,0,0.26,0.63,0.32,"FALSE"
"801",0.67,0.47,0.36,0.67,0.26,0,0,0.64,0.64,0,0,0,0,0.58,0.18,0.27,"TRUE"
"802",0,0.28,0,0,0.62,1,0,0.18,0,0.75,0.57,0,0,0.85,0.79,0.65,"TRUE"
"803",0,0.18,0,0,0.52,0.52,0,0,0,0,0.97,0,0,0.62,0.51,0.24,"TRUE"
"804",0.83,0.58,0.44,0.83,0.32,0,0,0.53,0.53,0,0,0,0,0.63,0.69,0.91,"FALSE"
"805",0,0,0.89,0.72,0.34,0.55,0.89,0.16,0,0,0.63,0,0,0.87,0.39,0.28,"TRUE"
"806",0,0,0,0,0.23,0.36,0,0.44,0.44,0,0.42,0,0,0.13,0.05,0.89,"FALSE"
"807",0,0,0,0,0,0,0,0.61,0.61,0,0.58,0,0.94,0.74,0.04,0.93,"FALSE"
"808",0,0.22,0,0,0.25,0,0,0.41,0.41,0,0.46,0,0,0.26,0.26,0.36,"FALSE"
"809",0,0.53,0.72,0.58,0.59,0.48,0.72,0.13,0,0,0,0,0,0.54,0.18,0.43,"TRUE"
"810",0.66,0.46,0.35,0.66,0.56,0.48,0,0,0,0,0,0.91,0,0.61,0.49,0.23,"TRUE"
"811",0,0.45,0,0,0.78,0.85,0,0,0,0,0,0.83,0,0.53,0.64,0.56,"FALSE"
"812",0,0.23,0.77,0.62,0.26,0,0.77,0.14,0,0,0.48,0,0,0.47,0.76,0.28,"TRUE"
"813",0,0.19,0,0,0.21,0,0,0,0,0,0.98,0,0.94,0.83,0.3,0.57,"TRUE"
"814",0,0.14,0,0,0.15,0.25,0,0.52,0.43,0.36,0,0,0,0,0.54,0.91,"FALSE"
"815",0,0.39,1,0.81,0.43,0.35,1,0.18,0,0,0,0,0,0.53,0.3,0.92,"FALSE"
"816",0,0.54,0.6,0.48,0.61,0.49,0.6,0.11,0,0,0,0,0,0.43,0.76,0.4,"FALSE"
"817",0.52,0.37,0.28,0.52,0.2,0,0,0.54,0.54,0,0,0,0,0.12,0.12,0.86,"FALSE"
"818",0.43,0.31,0.23,0.43,0.17,0,0,0,0,0,0.61,0,0.97,0.75,0.48,0.79,"FALSE"
"819",0,0.29,0,0,0.55,0.89,0,0.18,0,0.76,0,0.71,0,0.64,0.1,0.67,"FALSE"
"820",0,0,1,0.81,0,0,1,0.68,0.51,0,0,0,0,0.37,0.38,0.45,"TRUE"
"821",0,0.21,0,0,0.24,0.38,0,0.66,0.52,0.56,0,0,0,0.17,0.32,0.68,"FALSE"
"822",0,0,0.99,0.79,0.31,0.5,0.99,0.17,0,0,0.57,0,0,0.86,0.67,0,"TRUE"
