"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"751",0,0.53,0,0,0.59,0.48,0,0.41,0.41,0,0,0,0,0.4,0.7,0.51,"TRUE"
"752",0,0.28,0,0,0.53,0.35,0,0,0,0,0.99,0,0,0.64,0.55,0.82,"TRUE"
"753",0,0.37,0,0,0.63,0.68,0,0,0,0,0.4,0,0,0.3,0.66,0.55,"FALSE"
"754",0,0.9,0,0,1,0.81,0,0,0,0,0,0,0,0.49,0.49,0.54,"TRUE"
"755",0,0.18,0,0,0.2,0.33,0,0.6,0.48,0.48,0,0,0,0.25,0.29,0.34,"FALSE"
"756",0,0.58,0,0,0.86,0.87,0,0,0,0,0.4,0,0,0.65,0.59,0.68,"TRUE"
"757",0,0.6,0,0,0.92,0.94,0,0,0,0,0,0.77,0,0.67,0.03,0.27,"FALSE"
"758",0,0,0.77,0.62,0.28,0.45,0.77,0.14,0,0,0,0.84,0,0.48,0.05,0.61,"FALSE"
"759",0,0.62,0,0,0.69,0.75,0,0.13,0,0.56,0,0,0,0.37,0.66,0.81,"TRUE"
"760",0,0,0,0,0.25,0.4,0,0.46,0.46,0,0,0.76,0,0.13,0.18,1,"FALSE"
"761",0.63,1,0.33,0.63,0.87,0.5,0,0,0,0,0,0,0,0.64,0.7,0.45,"TRUE"
"762",0,0.47,0,0,0.53,0.43,0,0,0,0,0.57,0,0.92,0.95,0.22,0.28,"FALSE"
"763",0,0.4,0,0,0.44,0.36,0,0.68,0.68,0,0,0,0,0.27,0.48,0.52,"FALSE"
"764",0,0.47,0,0,0.52,0.42,0,0.14,0,0.61,0.49,0,0,0.61,0.33,0.48,"FALSE"
"765",0.64,0.72,0.34,0.64,0.55,0,0,0,0,0,0.56,0,0,0.65,0.37,0.25,"TRUE"
